#;Country (or dependency);Population (2022);Yearly change;Net change;Density (P/Km²);Land Area (Km²);Migrants (net);Fert. Rate;Med.Age;Urban Pop %;World Share;
1;China;1439323776;0.39%;5.540.090;153;9388211;-348399;1.7;38;61%;18.47%;
2;India;1380004385;0;0.99%;13586631;464;2973190;-532687;2.2;28;35%;17.70%
3;United States;331002651;0;0.59%;1937734;36;9147420;954806;1.8;38;83%;4.25%
4;Indonesia;273523615;0;1.07%;2898047;151;1811570;-98955;2.3;30;56%;3.51%
5;Pakistan;220892340;0;2.00%;4327022;287;770.88;-233379;3.6;23;35%;2.83%
6;Brazil;212559417;0;0.72%;1509890;25;8358140;21.2;1.7;33;88%;2.73%
7;Nigeria;206139589;0;2.58%;5175990;226;910.77;-60;5.4;18;52%;2.64%
8;Bangladesh;164689383;0;1.01%;1643222;1265;130.17;-369501;2.1;28;39%;2.11%
9;Russia;145934462;0;0.04%;62206;9;16376870;182456;1.8;40;74%;1.87%
10;Mexico;128932753;0;1.06%;1357224;66;1943950;-60;2.1;29;84%;1.65%
11;Japan;126476461;0;-0.30%;-383.84;347;364555;71.56;1.4;48;92%;1.62%
12;Ethiopia;114963588;0;2.57%;2884858;115;1000000;30;4.3;19;21%;1.47%
13;Philippines;109581078;0;1.35%;1464463;368;298.17;-67152;2.6;26;47%;1.41%
14;Egypt;102334404;0;1.94%;1946331;103;995.45;-38033;3.3;25;43%;1.31%
15;Vietnam;97338579;0;0.91%;876473;314;310.07;-80;2.1;32;38%;1.25%
16;DR Congo;89561403;0;3.19%;2770836;40;2267050;23861;6;17;46%;1.15%
17;Turkey;84339067;0;1.09%;909452;110;769.63;283922;2.1;32;76%;1.08%
18;Iran;83992949;0;1.30%;1079043;52;1628550;-55;2.2;32;76%;1.08%
19;Germany;83783942;0;0.32%;266897;240;348.56;543822;1.6;46;76%;1.07%
20;Thailand;69799978;0;0.25%;174396;137;510.89;19444;1.5;40;51%;0.90%
21;United Kingdom;67886011;0;0.53%;355839;281;241.93;260.65;1.8;40;83%;0.87%
22;France;65273511;0;0.22%;143783;119;547557;36527;1.9;42;82%;0.84%
23;Italy;60461826;0;-0.15%;-88249;206;294.14;148943;1.3;47;69%;0.78%
24;Tanzania;59734218;0;2.98%;1728755;67;885.8;-40076;4.9;18;37%;0.77%
25;South Africa;59308690;0;1.28%;750.42;49;1213090;145405;2.4;28;67%;0.76%
26;Myanmar;54409800;0;0.67%;364.38;83;653.29;-163313;2.2;29;31%;0.70%
27;Kenya;53771296;0;2.28%;1197323;94;569.14;-10;3.5;20;28%;0.69%
28;South Korea;51269185;0;0.09%;43877;527;97.23;11731;1.1;44;82%;0.66%
29;Colombia;50882891;0;1.08%;543448;46;1109500;204796;1.8;31;80%;0.65%
30;Spain;46754778;0;0.04%;18002;94;498.8;40;1.3;45;80%;0.60%
31;Uganda;45741007;0;3.32%;1471413;229;199.81;168694;5;17;26%;0.59%
32;Argentina;45195774;0;0.93%;415097;17;2736690;4.8;2.3;32;93%;0.58%
33;Algeria;43851044;0;1.85%;797.99;18;2381740;-10;3.1;29;73%;0.56%
34;Sudan;43849260;0;2.42%;1036022;25;1765048;-50;4.4;20;35%;0.56%
35;Ukraine;43733762;0;-0.59%;-259876;75;579.32;10;1.4;41;69%;0.56%
36;Iraq;40222493;0;2.32%;912.71;93;434.32;7834;3.7;21;73%;0.52%
37;Afghanistan;38928346;0;2.33%;886592;60;652.86;-62.92;4.6;18;25%;0.50%
38;Poland;37846611;0;-0.11%;-41157;124;306.23;-29395;1.4;42;60%;0.49%
39;Canada;37742154;0;0.89%;331107;4;9093510;242032;1.5;41;81%;0.48%
40;Morocco;36910560;0;1.20%;438791;83;446.3;-51419;2.4;30;64%;0.47%
41;Saudi Arabia;34813871;0;1.59%;545343;16;2149690;134979;2.3;32;84%;0.45%
42;Uzbekistan;33469203;0;1.48%;487487;79;425.4;-8863;2.4;28;50%;0.43%
43;Peru;32971854;0;1.42%;461401;26;1280000;99069;2.3;31;79%;0.42%
44;Angola;32866272;0;3.27%;1040977;26;1246700;6413;5.6;17;67%;0.42%
45;Malaysia;32365999;0;1.30%;416222;99;328.55;50;2;30;78%;0.42%
46;Mozambique;31255435;0;2.93%;889399;40;786.38;-5;4.9;18;38%;0.40%
47;Ghana;31072940;0;2.15%;655084;137;227.54;-10;3.9;22;57%;0.40%
48;Yemen;29825964;0;2.28%;664042;56;527.97;-30;3.8;20;38%;0.38%
49;Nepal;29136808;0;1.85%;528098;203;143.35;41.71;1.9;25;21%;0.37%
50;Venezuela;28435940;0;-0.28%;-79889;32;882.05;-653249;2.3;30;N.A.;0.36%
51;Madagascar;27691018;0;2.68%;721711;48;581795;-1.5;4.1;20;39%;0.36%
52;Cameroon;26545863;0;2.59%;669483;56;472.71;-4.8;4.6;19;56%;0.34%
53;Côte d'Ivoire;26378274;0;2.57%;661.73;83;318;-8;4.7;19;51%;0.34%
54;North Korea;25778816;0;0.44%;112655;214;120.41;-5403;1.9;35;63%;0.33%
55;Australia;25499884;0;1.18%;296686;3;7682300;158246;1.8;38;86%;0.33%
56;Niger;24206644;0;3.84%;895929;19;1266700;4;7;15;17%;0.31%
57;Taiwan;23816775;0;0.18%;42899;673;35.41;30001;1.2;42;79%;0.31%
58;Sri Lanka;21413249;0;0.42%;89516;341;62.71;-97986;2.2;34;18%;0.27%
59;Burkina Faso;20903273;0;2.86%;581895;76;273.6;-25;5.2;18;31%;0.27%
60;Mali;20250833;0;3.02%;592802;17;1220190;-40;5.9;16;44%;0.26%
61;Romania;19237691;0;-0.66%;-126866;84;230.17;-73999;1.6;43;55%;0.25%
62;Malawi;19129952;0;2.69%;501205;203;94.28;-16053;4.3;18;18%;0.25%
63;Chile;19116201;0;0.87%;164163;26;743532;111708;1.7;35;85%;0.25%
64;Kazakhstan;18776707;0;1.21%;225.28;7;2699700;-18;2.8;31;58%;0.24%
65;Zambia;18383955;0;2.93%;522925;25;743.39;-8;4.7;18;45%;0.24%
66;Guatemala;17915568;0;1.90%;334096;167;107.16;-9215;2.9;23;52%;0.23%
67;Ecuador;17643054;0;1.55%;269392;71;248.36;36.4;2.4;28;63%;0.23%
68;Syria;17500658;0;2.52%;430523;95;183.63;-427391;2.8;26;60%;0.22%
69;Netherlands;17134872;0;0.22%;37742;508;33.72;16;1.7;43;92%;0.22%
70;Senegal;16743927;0;2.75%;447563;87;192.53;-20;4.7;19;49%;0.21%
71;Cambodia;16718965;0;1.41%;232423;95;176.52;-30;2.5;26;24%;0.21%
